Producto,Precio_Competencia
PROD_0,0.0
PROD_1,15.0
PROD_2,30.0
PROD_3,45.0
PROD_4,60.0
PROD_5,75.0
PROD_6,90.0
PROD_7,105.0
PROD_8,120.0
PROD_9,135.0
PROD_10,150.0
PROD_11,165.0
PROD_12,180.0
PROD_13,195.0
PROD_14,210.0
PROD_15,225.0
PROD_16,240.0
PROD_17,255.0
PROD_18,270.0
PROD_19,285.0
PROD_20,300.0
PROD_21,315.0
PROD_22,330.0
PROD_23,345.0
PROD_24,360.0
PROD_25,375.0
PROD_26,390.0
PROD_27,405.0
PROD_28,420.0
PROD_29,435.0
PROD_30,450.0
PROD_31,465.0
PROD_32,480.0
PROD_33,495.0
PROD_34,510.0
PROD_35,525.0
PROD_36,540.0
PROD_37,555.0
PROD_38,570.0
PROD_39,585.0
PROD_40,600.0
PROD_41,615.0
PROD_42,630.0
PROD_43,645.0
PROD_44,660.0
PROD_45,675.0
PROD_46,690.0
PROD_47,705.0
PROD_48,720.0
PROD_49,735.0
PROD_50,750.0
PROD_51,765.0
PROD_52,780.0
PROD_53,795.0
PROD_54,810.0
PROD_55,825.0
PROD_56,840.0
PROD_57,855.0
PROD_58,870.0
PROD_59,885.0
